,0
0,-0.010237634882836147
1,0.011774380316390753
2,-0.008556451955063707
3,-0.01906032132919411
4,0.001008331419165459
5,0.005228178974867551
6,0.018874825839570716
7,-0.03143237168392274
8,0.013428693792355891
9,0.0026715537818929524
10,0.00400727949675766
11,0.0030154378851893478
12,-0.02970310528619628
13,0.00222257069428234
14,-0.00963036816827635
15,-0.010984203477560362
16,-0.024541432079447156
17,-0.010918188559157839
18,0.0025200866073067717
19,-0.0016214769819841218
20,-0.016164510640793148
21,-0.0022623962756034744
22,0.02328014247951662
23,-0.002842741285663562
24,-0.018840905042196793
25,-0.001439423280935809
26,0.00464581489367373
27,0.01134932407601247
28,0.00100502706265036
29,0.010871526241880695
30,-0.004894113942610072
31,-0.006957292989074558
32,0.013190411255707269
33,0.012639423738781592
34,-0.0028384193873131295
35,0.011694028080450385
36,-0.004783037709991052
37,0.007746088114958894
38,-0.024062419906101876
39,0.0025409473640858626
40,0.007286658780918829
41,0.00519701619196867
42,-0.006607992442904937
43,0.000772104731819372
44,-0.012488838585255325
45,-0.012177400192801243
46,0.005327512106433746
47,0.01907552396517911
48,-0.0014401547751964206
49,0.007085921181000105
50,0.0022226116979261494
51,-0.00700134932343581
52,0.001205578014056121
53,-0.012387287788108728
54,0.013337827896886086
55,0.020727794823581627
56,0.0014938586645128406
57,-0.006208524436277101
58,0.012246895309078916
59,0.0033435007952157154
60,0.0002292358698314909
61,-0.003316686363424581
62,-0.00941871489566972
63,0.00850508379065264
64,-0.005126704361895555
65,0.010170321765102843
66,0.0015589260982675171
67,-0.0003844483884329451
68,-0.011012827521761184
69,-0.04910652553995273
70,-0.0002563831532728148
71,0.017877306102668807
72,-0.011203609055656668
73,-0.005330764429499004
74,-0.004714910700557296
75,-0.020953798664332047
76,-0.002615931669800187
77,-0.011059329400988334
78,0.0007593600900728095
79,-0.012385259461593905
80,0.0076853348569009255
81,-0.04197581913342738
82,-0.018909257731278703
83,0.003851399007028897
84,-0.019147547637060964
85,0.0030697960934323925
86,0.020422157170955635
87,-0.0051332278210846054
88,-0.052022169439952554
89,0.013522585767404645
90,-0.002692091874190607
91,-0.012390736835081469
92,0.010733522227123147
93,0.0342060895064689
94,-0.01918204271522192
95,0.0012053145803718373
96,0.011407411983511605
